Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"02/19/2020 12:13",9735,9735.5,9734,9734.25,-0.5,246,N/A
NQH20,"02/19/2020 12:12",9734.5,9735,9734.25,9734.75,0.5,196,N/A
NQH20,"02/19/2020 12:11",9733.75,9734.75,9733,9734.25,0.75,475,N/A
NQH20,"02/19/2020 12:10",9734.5,9735.25,9733.25,9733.5,-1.25,582,N/A
NQH20,"02/19/2020 12:09",9736.5,9736.5,9733.75,9734.75,-2,536,N/A
NQH20,"02/19/2020 12:08",9736.5,9737.25,9736.25,9736.75,0.25,235,N/A
NQH20,"02/19/2020 12:07",9737.5,9737.5,9735.5,9736.5,-1,301,N/A
NQH20,"02/19/2020 12:06",9737.5,9738,9736.75,9737.5,0,443,N/A
NQH20,"02/19/2020 12:05",9736.5,9737.5,9736.5,9737.5,1,257,N/A
NQH20,"02/19/2020 12:04",9737,9737.25,9736,9736.5,-0.25,290,N/A
NQH20,"02/19/2020 12:03",9735.5,9737.25,9734.5,9736.75,1.25,540,N/A
NQH20,"02/19/2020 12:02",9737,9737.25,9735.25,9735.5,-1.5,562,N/A
NQH20,"02/19/2020 12:01",9737.5,9738.75,9736.5,9737,-0.5,593,N/A
NQH20,"02/19/2020 12:00",9737.25,9737.5,9736.25,9737.5,0.25,509,N/A
NQH20,"02/19/2020 11:59",9738.25,9738.25,9736.5,9737.25,-1,392,N/A
NQH20,"02/19/2020 11:58",9738.25,9738.5,9737.25,9738.25,0.25,437,N/A
NQH20,"02/19/2020 11:57",9738.75,9739,9738,9738,-0.75,336,N/A
NQH20,"02/19/2020 11:56",9739.25,9740,9738.5,9738.75,-0.25,409,N/A
NQH20,"02/19/2020 11:55",9739.5,9739.75,9738.5,9739,-0.25,672,N/A
NQH20,"02/19/2020 11:54",9740.5,9741.25,9738.5,9739.25,-1.25,541,N/A
NQH20,"02/19/2020 11:53",9742.5,9743.5,9740,9740.5,-2,601,N/A
NQH20,"02/19/2020 11:52",9742.75,9742.75,9740.75,9742.5,-0.25,824,N/A
NQH20,"02/19/2020 11:51",9742.5,9743,9742.25,9742.75,0.25,467,N/A
NQH20,"02/19/2020 11:50",9743.75,9743.75,9742.5,9742.5,-1.25,611,N/A
NQH20,"02/19/2020 11:49",9741.25,9743.75,9741,9743.75,2.5,574,N/A
NQH20,"02/19/2020 11:48",9740,9742.25,9740,9741.25,1.25,800,N/A
NQH20,"02/19/2020 11:47",9739.25,9741,9739.25,9740,0.75,662,N/A
NQH20,"02/19/2020 11:46",9737.75,9741,9737.75,9739.25,1.75,1502,N/A
NQH20,"02/19/2020 11:45",9736.5,9737.75,9736.25,9737.5,1,316,N/A
NQH20,"02/19/2020 11:44",9736,9737,9735.75,9736.5,0.5,300,N/A
NQH20,"02/19/2020 11:43",9736.25,9736.5,9735,9736,-0.25,321,N/A
NQH20,"02/19/2020 11:42",9735.75,9736.25,9734.5,9736.25,0.5,422,N/A
NQH20,"02/19/2020 11:41",9735.5,9736.75,9735.5,9735.75,0.25,418,N/A
NQH20,"02/19/2020 11:40",9735.75,9736.75,9735.25,9735.5,-0.25,535,N/A
NQH20,"02/19/2020 11:39",9735.75,9736.25,9735.5,9735.75,0.25,335,N/A
NQH20,"02/19/2020 11:38",9736.5,9736.5,9735,9735.5,-0.75,333,N/A
NQH20,"02/19/2020 11:37",9736.75,9737.25,9736,9736.25,-0.75,340,N/A
NQH20,"02/19/2020 11:36",9736.5,9737.5,9736.25,9737,0.5,190,N/A
NQH20,"02/19/2020 11:35",9737,9738.5,9736.25,9736.5,-0.25,747,N/A
NQH20,"02/19/2020 11:34",9737.25,9738,9736.75,9736.75,-0.5,405,N/A
NQH20,"02/19/2020 11:33",9737.25,9737.75,9736.5,9737.25,0.25,328,N/A
NQH20,"02/19/2020 11:32",9735.75,9737.25,9735.25,9737,1.5,432,N/A
NQH20,"02/19/2020 11:31",9733.75,9735.5,9733.5,9735.5,2,482,N/A
NQH20,"02/19/2020 11:30",9733,9733.75,9732.75,9733.5,0.5,400,N/A
NQH20,"02/19/2020 11:29",9734,9734.75,9732.75,9733,-0.75,467,N/A
NQH20,"02/19/2020 11:28",9734.5,9734.75,9733.5,9733.75,-0.75,546,N/A
NQH20,"02/19/2020 11:27",9737,9737.5,9734,9734.5,-2.25,594,N/A
NQH20,"02/19/2020 11:26",9736,9737.25,9736,9736.75,1,437,N/A
NQH20,"02/19/2020 11:25",9735.75,9736.5,9735.25,9735.75,-0.5,211,N/A
NQH20,"02/19/2020 11:24",9736.75,9737.25,9735.5,9736.25,-0.25,422,N/A
NQH20,"02/19/2020 11:23",9735.5,9737.5,9735.25,9736.5,1,451,N/A
NQH20,"02/19/2020 11:22",9734.75,9736,9734.75,9735.5,0.75,305,N/A
