Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/08/2020 12:49",11519,11523,11518.25,11521.75,2.5,408,N/A
"10/08/2020 12:48",11520.5,11521,11513,11519.25,-1.5,954,N/A
"10/08/2020 12:47",11521.75,11523.5,11520.75,11520.75,-1,204,N/A
"10/08/2020 12:46",11521.75,11522.75,11518.5,11521.75,0,284,N/A
"10/08/2020 12:45",11524.75,11524.75,11518,11521.75,-3.25,826,N/A
"10/08/2020 12:44",11521.25,11526.25,11514.75,11525,4,1157,N/A
"10/08/2020 12:43",11525.75,11525.75,11519.75,11521,-4.75,366,N/A
"10/08/2020 12:42",11522.75,11527.25,11522,11525.75,3,439,N/A
"10/08/2020 12:41",11522,11523.75,11519.75,11522.75,0.5,331,N/A
"10/08/2020 12:40",11521.75,11524.75,11519.25,11522.25,0.75,345,N/A
"10/08/2020 12:39",11523.25,11526.5,11520.5,11521.5,-1.75,463,N/A
"10/08/2020 12:38",11523.75,11524,11518.75,11523.25,-0.75,445,N/A
"10/08/2020 12:37",11525,11525.5,11522.5,11524,-1,244,N/A
"10/08/2020 12:36",11524,11527.25,11524,11525,0.5,347,N/A
"10/08/2020 12:35",11519.75,11525,11518.25,11524.5,4.75,397,N/A
"10/08/2020 12:34",11526.25,11526.75,11518,11519.75,-6.5,569,N/A
"10/08/2020 12:33",11527.5,11530,11525.75,11526.25,-1,511,N/A
"10/08/2020 12:32",11526.75,11528.25,11524.75,11527.25,0.75,441,N/A
"10/08/2020 12:31",11524,11527,11523.25,11526.5,2.5,313,N/A
"10/08/2020 12:30",11522.5,11525,11520.75,11524,1.5,407,N/A
"10/08/2020 12:29",11525,11526.5,11521.25,11522.5,-3,327,N/A
"10/08/2020 12:28",11522.25,11527.5,11521,11525.5,4,418,N/A
"10/08/2020 12:27",11520.75,11525.5,11519.5,11521.5,0.5,597,N/A
"10/08/2020 12:26",11519.25,11523.5,11519.25,11521,2,414,N/A
"10/08/2020 12:25",11518.5,11522.25,11518,11519,0.5,590,N/A
"10/08/2020 12:24",11528.25,11528.25,11518,11518.5,-10.25,1093,N/A
"10/08/2020 12:23",11531,11532.75,11528.5,11528.75,-2,190,N/A
"10/08/2020 12:22",11531.25,11532.5,11528.5,11530.75,-0.5,276,N/A
"10/08/2020 12:21",11529.5,11532.75,11529.5,11531.25,2,278,N/A
"10/08/2020 12:20",11528,11530,11526.25,11529.25,1,293,N/A
"10/08/2020 12:19",11530.25,11531.5,11526.25,11528.25,-1.5,305,N/A
"10/08/2020 12:18",11530.5,11531.25,11527.5,11529.75,-0.75,308,N/A
"10/08/2020 12:17",11532.75,11533.75,11528.5,11530.5,-2.25,635,N/A
"10/08/2020 12:16",11537.5,11537.5,11532,11532.75,-4.25,336,N/A
"10/08/2020 12:15",11538.75,11538.75,11535.5,11537,-1.5,302,N/A
"10/08/2020 12:14",11534.25,11539.25,11534,11538.5,3.5,387,N/A
"10/08/2020 12:13",11532.75,11535.25,11532.5,11535,1.75,245,N/A
"10/08/2020 12:12",11535,11535.75,11531.5,11533.25,-2,391,N/A
"10/08/2020 12:11",11539.5,11539.75,11533.5,11535.25,-4,420,N/A
"10/08/2020 12:10",11539,11541,11536,11539.25,0.25,364,N/A
"10/08/2020 12:09",11540.75,11543,11539,11539,-1.5,274,N/A
"10/08/2020 12:08",11539,11540.75,11537.25,11540.5,1.25,239,N/A
"10/08/2020 12:07",11536.25,11539.25,11535.5,11539.25,2.75,285,N/A
"10/08/2020 12:06",11541.75,11543.5,11536,11536.5,-5.25,416,N/A
"10/08/2020 12:05",11537.25,11542,11535.5,11541.75,4.25,416,N/A
